"","OTU","Sample","Abundance","host_disease","author","host_subtype","Kingdom","Phylum","Class","Order","Family","Genus"
"1115","ASV289","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1116","ASV289","SRR7282484",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1117","ASV289","SRR7282485",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1119","ASV289","SRR7282510",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1120","ASV289","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1121","ASV289","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1122","ASV289","SRR7282490",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1124","ASV289","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1125","ASV289","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1126","ASV289","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1127","ASV289","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1128","ASV289","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1129","ASV289","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1130","ASV289","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1131","ASV289","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1132","ASV289","SRR7282506",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1133","ASV289","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1135","ASV289","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1136","ASV289","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1137","ASV289","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1138","ASV289","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1139","ASV289","SRR7282525",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1140","ASV289","SRR7282489",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1141","ASV291","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1142","ASV291","SRR7282520",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1143","ASV291","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1145","ASV291","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1148","ASV291","SRR7282485",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1149","ASV291","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1150","ASV291","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1152","ASV291","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1154","ASV291","SRR7282525",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1155","ASV291","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1156","ASV291","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1157","ASV291","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1158","ASV291","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1159","ASV291","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1161","ASV291","SRR7282506",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1162","ASV291","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1164","ASV291","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1165","ASV291","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1168","ASV291","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1172","ASV30","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1179","ASV30","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1180","ASV30","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1201","ASV302","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1202","ASV302","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1203","ASV302","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1204","ASV302","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1206","ASV302","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1207","ASV302","SRR7282485",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1208","ASV302","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1209","ASV302","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1210","ASV302","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1211","ASV302","SRR7282520",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1212","ASV302","SRR7282490",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1213","ASV302","SRR7282484",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1214","ASV302","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1217","ASV302","SRR7282510",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1218","ASV302","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1219","ASV302","SRR7282524",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1220","ASV302","SRR7282489",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1221","ASV302","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1222","ASV302","SRR7282506",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1223","ASV302","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1224","ASV302","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1225","ASV302","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1226","ASV302","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1227","ASV302","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1228","ASV302","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1229","ASV302","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1230","ASV302","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"1232","ASV31","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1234","ASV31","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1235","ASV31","SRR7282524",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1236","ASV31","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1237","ASV31","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1238","ASV31","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1239","ASV31","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1241","ASV31","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1244","ASV31","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1246","ASV31","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1247","ASV31","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1248","ASV31","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1251","ASV31","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1255","ASV31","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1256","ASV31","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1257","ASV31","SRR7282525",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1259","ASV31","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1260","ASV31","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1261","ASV317","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1263","ASV317","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1266","ASV317","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1268","ASV317","SRR7282520",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1269","ASV317","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1270","ASV317","SRR7282484",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1271","ASV317","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1273","ASV317","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1274","ASV317","SRR7282510",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1275","ASV317","SRR7282485",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1276","ASV317","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1277","ASV317","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1278","ASV317","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1279","ASV317","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1280","ASV317","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1281","ASV317","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1283","ASV317","SRR7282489",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1284","ASV317","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1285","ASV317","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1287","ASV317","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1288","ASV317","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1290","ASV317","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1291","ASV32","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1292","ASV32","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1294","ASV32","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1296","ASV32","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1297","ASV32","SRR7282524",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1298","ASV32","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1299","ASV32","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1300","ASV32","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1301","ASV32","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1302","ASV32","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1303","ASV32","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1304","ASV32","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1305","ASV32","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1306","ASV32","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1307","ASV32","SRR7282484",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1308","ASV32","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1309","ASV32","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1310","ASV32","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1316","ASV32","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1318","ASV32","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1320","ASV32","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus"
"1321","ASV326","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1322","ASV326","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1323","ASV326","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1324","ASV326","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1325","ASV326","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1326","ASV326","SRR7282520",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1327","ASV326","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1328","ASV326","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1329","ASV326","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1330","ASV326","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1331","ASV326","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1332","ASV326","SRR7282485",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1333","ASV326","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1334","ASV326","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1335","ASV326","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1336","ASV326","SRR7282490",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1337","ASV326","SRR7282524",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1339","ASV326","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1340","ASV326","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1341","ASV326","SRR7282484",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1343","ASV326","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1344","ASV326","SRR7282510",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1345","ASV326","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1346","ASV326","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1347","ASV326","SRR7282525",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1348","ASV326","SRR7282506",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1349","ASV326","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1350","ASV326","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"1351","ASV327","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella"
"1353","ASV327","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella"
